campus,codes,building,street_address,city_state,mapping_status,printer_count,notes,sources
FX,"FX-JC, FX-JCG",Johnson Center,4477 Aquia Creek Lane,"Fairfax, VA",Corroborated,12,JCG is the ground-floor variant; rooms G10A and G18 corroborate this interpretation.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-KB,Krasnow Institute Building,4461 Rockfish Creek Lane,"Fairfax, VA",Corroborated,2,Registrar code KB; room 106 matches the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,"FX-KH, FX-KRUG",Krug Hall,4467 Aquia Creek Lane,"Fairfax, VA",Corroborated,3,"KH is the registrar code; rooms 110, 202 and 213 match the replacement schedule.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-LI,Liberty Square,10440 Presidents Park Drive,"Fairfax, VA",Corroborated,1,Room C111 matches the public printer directory and replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-MG,Ángel Cabrera Global Center,4352 Mason Pond Drive,"Fairfax, VA",Corroborated,4,Formerly Mason Global Center; rooms 1305 and 1315 match the public printer directory.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/
FX,FX-MRT,Alan and Sally Merten Hall,4441 George Mason Boulevard,"Fairfax, VA",Corroborated,16,"Several rooms, including 4123, match the replacement schedule. This is the actual Merten prefix; MH is Buchanan Hall.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-NA,Nottoway Annex,10470 Holston Creek Court,"Fairfax, VA",Corroborated,2,Rooms 111 and 126 match the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-NEM,Northeast Module,4580 University Drive,"Fairfax, VA",Inferred,1,"NEM denotes Northeast Module, not Nguyen Engineering. The neighboring module has a separate NEM2 code; exact room 105 not independently checked.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
FX,FX-NEM2,Northeast Module II,4590 University Drive,"Fairfax, VA",Corroborated,2,"NEM21 means module II, floor 1. Rooms 114 and 125D match the replacement schedule.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-NNH,Northern Neck Hall,4335 Chesapeake River Way,"Fairfax, VA",Corroborated,2,The public directory confirms a first-floor printer; NNH is interpreted as Northern Neck Hall.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/
FX,FX-PAB,Donald and Nancy de Laski Performing Arts Building,4480 Aquia Creek Lane,"Fairfax, VA",Corroborated,3,"Registrar code PAB; rooms A300, 407 and 417B match the replacement schedule.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-PFHS,Peterson Hall,4408 Patriot Circle,"Fairfax, VA",Corroborated,16,"PFHS retains the longer building name. The address is for Peterson Hall, not the separate Population Health Center at 4410.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-PH,Potomac Heights,10350 York River Road,"Fairfax, VA",Inferred,1,Likely Potomac Heights from the housing code and S022 room token; the exact printer-to-building assignment is not independently published.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://housing.gmu.edu/residence-halls/upper-level-residence-halls/potomac-heights
FX,FX-PI,Piedmont Hall,4349A Chesapeake River Way,"Fairfax, VA",Corroborated,1,First-floor hallway printer matches the public directory and replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-PLANET,Planetary Hall,10430 Rivanna River Way,"Fairfax, VA",Corroborated,2,Registrar code PLANET and matching room 303 in the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-PS,Parking Services Building,10420 York River Road,"Fairfax, VA",Inferred,1,Likely Parking Services; separate PSHQ stations identify the police building. Exact room 115 needs confirmation.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
FX,FX-PSHQ,Police and Safety Headquarters,4393 University Drive,"Fairfax, VA",Inferred,3,Explicit abbreviation matches the official building name; individual printer rooms are not listed publicly.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
FX,FX-RAC,Recreation and Athletic Complex,4350A Banister Creek Court,"Fairfax, VA",Corroborated,2,Registrar code RAC. Current address directory distinguishes RAC (A) from the Basketball and Academic Performance Center (B).,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/
FX,FX-RSCH,Research Hall,10401 York River Road,"Fairfax, VA",Corroborated,7,Registrar code RSCH and matching replacement-schedule rooms.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-SA,Sandbridge Hall,4343B Chesapeake River Way,"Fairfax, VA",Corroborated,1,Likely the printer listed as Sandridge in the public printer list; GMU's address directory names the building Sandbridge Hall.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/
FX,FX-SD,Southside Dining Hall,4353 Chesapeake River Way,"Fairfax, VA",Corroborated,2,Rooms 1007 and 1040 match the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-SUB1,Student Union Building I,4469 Aquia Creek Lane,"Fairfax, VA",Corroborated,17,"SUB12 is SUB I, floor 2; the final floor digit is not part of the building number.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/
FX,"FX-T, FX-TG, FX-TL",Thompson Hall,4409 Patriot Circle,"Fairfax, VA",Corroborated,10,T is the registrar code; TG-G050 and TL-LOBBY match the ground/lower-level schedule entries.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-TA,Taylor Hall,10444 Presidents Park Drive,"Fairfax, VA",Corroborated,1,First-floor hallway printer matches the public directory.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/
FX,FX-W,West Building,4457 Aquia Creek Lane,"Fairfax, VA",Corroborated,1,Registrar code W.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/
FX,FX-WH,Whitetop Hall,4402 Aquia Creek Lane,"Fairfax, VA",Corroborated,1,First-floor lobby printer matches the public directory and replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-WPM,West Physical Education Module,4540 Global Lane,"Fairfax, VA",Corroborated,1,Room 123 matches the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
ST,ST-9485INOVDR,Innovation Park,9485 Innovation Drive,"Manassas, VA",Corroborated,1,The address is encoded directly in the station name; the official address directory calls it Innovation Park.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
ST,ST-BEH,Beacon Hall,10945 George Mason Circle,"Manassas, VA",Corroborated,1,First-floor hallway printer matches the public directory and replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
ST,ST-BRH,Katherine G. Johnson Hall,10890 George Mason Circle,"Manassas, VA",Corroborated,5,Formerly Bull Run Hall. The printer code and replacement schedule retain the older name.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://bov.gmu.edu/wp-content/uploads/meeting-book-full-board-meeting-may-2-2019-updated-5.16.2019.pdf; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
ST,ST-BRL,Biomedical Research Laboratory,10650 Pyramid Place,"Manassas, VA",Inferred,1,BRL matches the laboratory name; the exact room 182 printer is not independently documented. Do not substitute the adjacent BRL Annex address.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
ST,ST-CCH,Senator Charles J. Colgan Hall,10900 George Mason Circle,"Manassas, VA",Corroborated,5,Library-front location and room 218 match public printer sources; address directory shortens the name to Colgan Hall.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
ST,ST-DH,Discovery Hall,10910 George Mason Circle,"Manassas, VA",Corroborated,4,"Rooms 110, 178 and 251 match the replacement schedule.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
ST,ST-FC,Freedom Aquatic and Fitness Center,9100 Freedom Center Boulevard,"Manassas, VA",Corroborated,1,Registrar code PW-FC; ST is the printer inventory's SciTech prefix.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/
ST,ST-FTP,Facilities parts / trailer,,"Manassas, VA",Unresolved,1,Station ST-FTP-PARTS-359. The replacement schedule confirms a Facilities parts printer; it does not give a street address. Physical Plant Compound at 10891 George Mason Circle is a candidate only.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
ST,ST-HPAC,Hylton Performing Arts Center,10960 George Mason Circle,"Manassas, VA",Inferred,2,HPAC unambiguously abbreviates the center name; the individual rooms are not publicly corroborated. The Education Wing has a separate address.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
ST,ST-IABR,Institute for Advanced Biomedical Research,10920 George Mason Circle,"Manassas, VA",Corroborated,3,The explicit abbreviation agrees with the official building name.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/
ST,ST-LSEB,Life Sciences and Engineering Building,10930 George Mason Circle,"Manassas, VA",Corroborated,4,Registrar code PW-LSEB; rooms 2501 and 3405 match the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
WB,WB-PSC,Potomac Science Center,650 Mason Ferry Avenue,"Woodbridge, VA",Corroborated,2,Woodbridge location; rooms 1305 and 3119 match the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
